548337,Hell Night,DVD,28703,5,14,31,31,3.5
548338,Secrets of Tai Chi,DVD,29918,5,13,1,1,4
548339,Body Snatchers,DVD,16601,5,24,18,18,3.5
548340,Point Doom,DVD,43860,5,19,2,2,2.5
548341,Luke''s Freakshow - On the Road With Luke (Vol. 5),DVD,33524,5,6,2,2,2
548342,Held for Ransom,DVD,49060,5,17,2,2,2
548343,Jeffrey,DVD,5363,5,14,51,51,4.5
548344,Avalanche,DVD,21570,5,23,4,4,3
548345,When Dinosaurs Roamed America,DVD,4475,5,11,23,23,3.5
548346,Black Beauty (Animated Version),DVD,29973,5,13,1,1,4
548347,I Never Promised You a Rose Garden,DVD,19550,5,27,6,6,3.5
548348,Robin Hood (Nutech Digital),DVD,53776,0,9,1,1,2
548349,Double Feature - Humphrey Bogart (Beat the Devil & Humphrey Bogart on Film),DVD,26945,5,31,25,25,3.5
548350,Blood on the Sun,DVD,48122,5,29,15,15,3.5
548351,A Funny Thing Happened on the Way to the Forum,DVD,1211,5,38,64,64,4
548352,Innocent Blood,DVD,7380,5,33,27,27,4
548353,The Firesign Theatre - Weirdly Cool,DVD,10328,5,3,4,4,4
548354,Jazz Casual - John Coltrane,DVD,18006,5,9,12,12,4.5
548355,The Happy Holiday Hearth,DVD,31641,5,7,7,7,4.5
548356,Jazz Casual - Dave Brubeck,DVD,22351,5,8,4,4,4
548357,Earthly Possessions,DVD,38752,5,21,8,8,4.5
548358,Baker''s Hawk,DVD,52561,5,23,2,2,4
548359,Playing God,DVD,15652,5,32,33,33,3
548360,Discovering the Real World of Harry Potter,DVD,14286,5,5,7,7,3.5
548361,The Skateboard Kid,DVD,44599,5,23,6,6,4
548362,Super Hits of the ''70s - Have a Nice Day,DVD,27573,5,9,8,8,4
548363,My Best Friend''s Wedding (Special Edition),DVD,1780,5,21,159,159,4
548364,Pacific - The Colors of War,DVD,47693,5,5,0,0,0
548365,The Indian in the Cupboard,DVD,5635,5,19,24,24,3.5
548366,Master of the Flying Guillotine,DVD,13835,5,12,29,29,4.5
548367,Herbert Von Karajan - His Legacy for Home Video: Beethoven Symphonies Nos. 1 & 8,DVD,42929,5,10,6,6,4.5
548368,Cobra,DVD,7205,5,27,51,50,3.5
548369,The First 9 1/2 Weeks,DVD,38580,5,12,1,1,3
548370,My Favorite Brunette,DVD,49733,5,24,18,18,3
548371,Thelma & Louise (Special Edition),DVD,3090,5,23,104,104,4.5
548372,Blown Away,DVD,16004,5,29,26,26,4
548373,The Boogeyman/The Devonsville Terror,DVD,11982,5,11,10,10,3.5
548374,Bent,DVD,6959,5,20,48,5,4
548375,The Hanging Garden,DVD,19838,5,13,30,30,4
548376,My Beautiful Laundrette,DVD,13332,5,15,15,15,4.5
548377,The Sum of Us,DVD,7184,5,13,42,5,4.5
548378,It''s My Party,DVD,22030,5,24,56,5,4
548379,Seven Hours to Judgment,DVD,31223,0,14,2,2,3
548380,Wigstock - The Movie,DVD,18793,5,9,7,5,3.5
548381,Shattered,DVD,8948,5,23,14,5,4
548382,Miracle Mile,DVD,17187,5,24,37,37,4
548383,Two if By Sea,DVD,8979,5,26,7,7,3.5
548384,The Giant Gila Monster,DVD,60555,5,17,26,25,3.5
548385,Fire Down Below,DVD,10083,5,26,27,27,3.5
548386,The Best of the Wonder Years,DVD,22697,5,25,24,24,2.5
548387,Invasion of the Body Snatchers,DVD,751,5,30,71,70,4.5
548388,The Two Jakes,DVD,6466,5,31,25,25,4
548389,Desert Hearts,DVD,2472,5,18,60,60,4.5
548390,AIR: Eating"," Sleeping"," Waiting and Playing,DVD,38640,5,9,13,13,3.5
548391,The Princess Bride (Special Edition),DVD,194,5,27,705,705,4.5
548392,Ernest Scared Stupid,DVD,8937,5,19,23,23,4.5
548393,My Favorite Martian,DVD,38985,5,29,26,26,3.5
548394,Frogs,DVD,10746,5,15,46,45,3
548395,Yo-Yo Ma - Inspired by Bach Vol. 3"," Struggle for Hope / Six Gestures  (Cello Suites 5 & 6),DVD,25633,5,12,9,9,3.5
548396,Sesame Street - Zoe''s Dance Moves,DVD,8213,5,14,25,25,3.5
548397,The Au Pair Girls,DVD,23963,5,18,3,3,2.5
548398,Robotech - Hollow Victory (Vol. 14),DVD,36670,5,9,2,2,5
548399,Waterworld,DVD,2022,5,35,135,135,4
548400,The Alchemists,DVD,60835,0,9,0,0,0
548401,City Slickers,DVD,5989,5,32,28,28,4.5
548402,Assignment:Outer Space,DVD,35395,5,10,4,4,3.5
548403,Horror Classics"," Vol. 13 (Swamp Women / Phantom from 10","000 Leagues / Creature from the Haunted Sea),DVD,32323,5,16,2,2,2.5
548404,Anne Frank - The Whole Story,DVD,4495,5,17,86,85,5
548405,The Devil Bat,DVD,50139,5,17,21,21,4
548406,Yoga Zone - Meditation: Two Complete Sessions (Beginners),DVD,21771,5,12,6,6,4.5
548407,Western Classics Triple Feature"," Vol. 2 (Rough Riders'' Round-Up / Young Bill Hickok / My Pal Trigger),DVD,40933,5,18,0,0,0
548408,How to Make an American Quilt,DVD,7163,5,34,26,26,4.5
548409,XPW: Damage"," Inc.,DVD,27868,0,6,0,0,0
548410,Timothy Leary''s Last Trip,DVD,52906,5,11,8,8,3
548411,Labyrinth,DVD,424,5,22,805,805,5
548412,Where''s Poppa?,DVD,5402,5,18,21,20,4
548413,Killing Zoe,DVD,43580,5,25,49,49,3.5
548414,The Big Doll House: Roger Corman Classics,DVD,9049,5,14,6,6,5
548415,Fall Time,DVD,12638,5,21,7,7,2.5
548416,Laugh Again,Book,339000,5,5,4,4,4.5
548417,Phone Power : Increase Your Effectiveness Every Time You''re on the Phone,Book,302403,5,14,1,1,4
548418,Twilight Zone Vol 38,DVD,9619,5,12,3,3,3
548419,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Book,351961,5,7,89,89,4.5
548420,Energy Anatomy: The Science of Personal Power"," Spirituality"," and Health,Book,572961,5,6,25,25,5
548421,Welcome to Temptation,Book,1128390,5,5,167,167,4.5
548422,Traitor,Book,2450668,5,8,9,9,5
548423,The Lexus and the Olive Tree [ABRIDGED],Book,215515,5,11,350,350,3.5
548424,The Best Loved Poems of Jacqueline Kennedy Onassis,Book,615677,5,5,22,22,4.5
548425,Raven,DVD,30473,5,22,7,7,4
548426,Korean,Book,493259,5,2,8,8,3
548427,Italian: Level 1: Learn In Your Car,Book,531950,5,2,4,4,3.5
548428,From .Com to .Profit (Wiley Audio),Book,2353077,0,10,4,4,4.5
548429,The Horse Whisperer,Book,511787,5,4,607,607,3.5
548430,Stuart Little,Book,446625,5,11,103,100,4
548431,Serving Sara (Full Screen Edition),DVD,23060,5,23,50,50,3
548432,West With the Night (Audio Editions),Book,446903,5,7,87,87,4.5
548433,The Florentine,DVD,40137,5,26,7,7,4
548434,The Body Artist,Book,194146,5,6,107,107,3.5
548435,Skins,DVD,5318,5,11,17,17,4.5
548436,Village People - Can''t Stop the Music,DVD,15393,5,18,56,55,4
548437,Forgiven Forever,Book,1152856,3,8,3,3,5
548438,Dr. Seuss''s ABC,DVD,7322,5,13,18,18,3.5
548439,Arrival/Arrival 2,DVD,12028,5,17,20,20,3.5
548440,1993 Pet of the Year Play-Off/,DVD,31030,5,1,3,3,4.5
548441,Twice Told Tales,DVD,20423,5,21,13,13,4
548442,Kronos,DVD,4018,5,20,28,28,4
548443,UFO and Paranormal Phenomena: Message from Another Dimension,DVD,58231,0,7,3,3,2.5
548444,Beast From Haunted Cave/The Brain That Wouldn''t Die,DVD,33843,0,12,6,6,2.5
548445,The Twilight Zone - Vol. 35,DVD,7872,5,24,2,2,4.5
548446,Look Great Naked - Butt,DVD,24728,5,9,7,7,4
548447,Marathon Man,DVD,3868,5,19,43,43,4
548448,Reptilian,DVD,11514,5,8,19,19,3.5
548449,McHale''s Navy (1997),DVD,5839,5,26,12,12,4
548450,Music in High Places - Alanis Morissette Live in the Navajo Nation,DVD,7821,5,10,11,11,4.5
548451,Jack-O,DVD,57000,0,19,20,20,3
548452,His Girl Friday,DVD,12807,5,37,82,80,4
548453,Deepak Chopra''s Lords of Light: A Novel,Book,713585,5,4,16,16,3
548454,Action Jackson,DVD,17451,5,24,17,17,4
548455,Secrets of War: Spy Games of World War II,DVD,38528,5,9,3,3,5
548456,How Stella Got Her Groove Back,DVD,5349,5,24,65,65,4
548457,Adolescence Isn''t Terminal: It Just Feels Like It!,Book,790214,5,8,5,5,4
548458,Legend (Ultimate Edition),DVD,305,5,27,356,355,4
548459,Blood Work (Full Screen Edition),DVD,18166,5,19,102,102,3
548460,Sesame Street - Let''s Make Music,DVD,10548,5,21,31,31,4.5
548461,A Book of Courtesy: The Art of Living with Yourself and Others,Book,416507,5,4,1,1,5
548462,How to Spot a Bastard by His Star Sign: The Ultimate Horrorscope,Book,108337,5,3,60,60,4.5
548463,The Perfect Piece : Monologues from Canadian Plays,Book,1305432,0,2,1,1,4
548464,God''s Words of Life from the NIV Women''s Devotional Bible 2,Book,157790,5,4,4,4,5
548465,A Time to Live : Seven Tasks of Creative Aging,Book,260306,3,3,1,1,4
548466,Camelback Falls: A David Mapstone Mystery,Book,200533,5,3,7,7,5
548467,Introduction to the Study of Dinosaurs,Book,38367,5,2,2,2,4.5
548468,Necroscope: Invaders (Necroscope: E-Branch Trilogy),Book,256693,5,2,21,21,4
548469,The Murad Method: Wrinkle-Proof"," Repair"," and Renew Your Skin with the Proven 5-Week Program,Book,246578,5,2,18,18,4.5
548470,Gregory Peck : A Biography,Book,190946,5,3,5,5,4
548471,DK Merriam-Webster Children''s Dictionary,Book,19237,5,3,10,10,5
548472,Necroscope: Invaders,Book,496637,5,3,21,21,4
548473,AAP''s Pediatric Education for Prehospital Professionals,Book,421681,5,4,1,1,5
548474,It''s Never Too Late to Love a Computer,Book,188523,5,2,8,8,5
548475,The Blacks: A Clown Show,Book,494931,5,2,1,1,4
548476,Mammoths"," Sabertooths"," and Hominids,Book,140303,5,4,3,3,5
548477,Black Jack Point,Book,386475,5,4,7,7,4.5
548478,The Author of Himself: The Life of Marcel Reich-Ranicki.,Book,606753,1,4,5,5,4.5
548479,Stalin''s Secret Pogrom: The Postwar Inquisition of the Jewish Anti-Fascist Committee (Annals of Communism),Book,722871,3,6,2,2,5
548480,Exploring Acts: An Expository Commentary (The John Phillips Commentary Series),Book,407487,5,3,2,2,5
548481,No Problem: Taking the Problem Out of Mathematical Problem Solving,Book,381799,0,1,1,1,5
548482,Masters of Dragonlance Art (Dragonlance: Artbooks),Book,33954,5,3,2,2,4.5
548483,150 Practice ECGs: Interpretation and Review,Book,58312,5,2,1,1,5
548484,Forty Days,Book,753735,5,1,2,2,4
548485,Understanding Electric Utilities and De-Regulation (Power Engineering) (Power Engineering"," 6),Book,972506,0,5,1,1,5
548486,California Pizza Kitchen Pasta"," Salads"," Soups"," And Sides,Book,23466,5,5,11,11,4
548487,Diario della studentessa Jean,Book,139511,5,2,18,18,4.5
548488,Colorado"," Yesterday & Today,Book,419502,5,14,6,6,5
548489,Mechanics of Composite Materials,Book,790907,0,4,1,1,5
548490,Mergent''s Dividend Achievers,Book,364313,5,4,1,1,4
548491,Fundamentals of Computer Graphics,Book,335529,5,4,6,6,4
548492,Negative Doubles: A must read for every partnership,Book,174178,5,2,2,2,5
548493,George Muller of Bristol: His Life of Prayer and Faith,Book,336956,5,2,1,1,5
548494,The Changing Light at Sandover : A Poem,Book,373557,5,5,8,8,5
548495,Rockers,Video,8211,5,4,10,10,5
548496,Business Strategy Formulation : Theory"," Process"," and the Intellectual Revolution,Book,326693,4,4,2,2,4
548497,Leadership Promises for Every Day,Book,141309,5,5,3,3,4.5
548498,250 Continuous-Line Quilting Designs for Hand"," Machine & Long-Arm Quilters,Book,62663,5,2,10,10,4
548499,Beyond the Forest,Video,10141,5,11,18,18,4.5
548500,Flyfisher''s Guide to Wyoming (Flyfisher''s Guides),Book,229742,5,7,2,2,5
548501,A Commentary on Plato''s Meno,Book,106934,5,2,1,1,5
548502,Cut the Clutter and Stow the Stuff : The Q.U.I.C.K. Way to Bring Lasting Order to Household Chaos,Book,55228,5,2,10,10,2.5
548503,A History and Philosophy of Fluid Mechanics,Book,664842,5,6,2,2,3.5
548504,Statistics for Veterinary and Animal Science,Book,707925,5,5,1,1,4
548505,Implementation,Book,98881,5,3,1,1,4
548506,She Done Him Wrong,Video,10938,5,20,13,13,4.5
548507,Aquatic Entomology: The Fishermen''s Guide and Ecologists'' Illustrated Guide to Insects and Their Relatives (Crosscurrents),Book,124435,5,5,6,6,3.5
548508,Needless Casualties of War,Book,34810,5,1,11,11,5
548509,Door Door,Music,-1,0,1,1,1,5
548510,Start Your Own Computer Business: Building a Successful PC Repair and Service Business by Supporting Customers and Managing Money,Book,19786,5,8,11,11,5
548511,How to Start and Run Your Own Mystery Shopping Company,Book,0,5,4,6,5,4.5
548512,Common Sense About Uncommon Wisdom: Ancient Teachings of Vedanta,Book,0,0,3,1,1,5
548513,How To Get The Best Creative Work From Your Agency: Advertising"," Interactive And Other Marketing Communications,Book,0,2,4,2,2,5
548514,Help Me Talk Right: How to Teach a Child to Say the ""R"" Sound in 15 Easy Lessons,Book,0,5,1,3,3,5
548515,Gods on Earth (Thor"," Book 3),Book,0,5,4,1,1,5
548516,El arte de amar,Book,0,0,1,2,2,4
548517,The Manager''s Bible: A Practical Guide for the Current and Future Manager,Book,0,0,2,10,5,5
548518,Dona Barbara,Book,0,5,1,15,5,5
548519,The Irish Americans: The Immigrant Experience,Book,0,4,1,1,1,5
548520,The Diligent: A Voyage through the Worlds of the Slave Trade,Book,0,5,1,7,5,4.5
548521,Michelin the Green Guide Berlin and Potsdam (Michelin Green Guide: Berlin and Potsdam),Book,0,5,10,1,1,5
548522,Japanese Country Style: Putting New Life into Old Houses,Book,0,5,3,1,1,5
548523,Invisible Darkness - The Horrifying Case of Paul Bernardo and Karla Homolka,Book,0,0,1,9,5,4.5
548524,Noonshade (Chronicles of the Raven"," Book 2),Book,0,5,1,6,5,5
548525,The Wedding Workbook,Book,0,0,5,1,1,4
548526,From Soup to Nuts,Video,0,5,9,1,1,4
548527,Harry Potter Trading Card Game Starter Set,Book,0,0,2,3,3,4.5
548528,Island Soul : A Memoir of Norway,Book,0,0,2,16,5,4.5
548529,Ten Time Bombs,Book,0,5,4,1,1,5
548530,House of Cards,Book,0,5,1,4,4,4.5
548531,Mel Bay''s Complete Traditional Holiday Season Fake Book (Mel Bay''s Complete Series),Book,0,4,2,5,5,5
548532,Black Out,Book,0,0,3,15,5,4
548533,Sengai: Master Zen Painter,Book,0,2,6,1,1,4
548534,Abriendo Paso Lectura,Book,0,5,1,2,2,4.5
548535,Lost for Words,Book,0,0,1,5,5,4.5
548536,Improvisations - Jazz In Paris,Music,0,5,2,3,3,5
548537,Anyway: The Paradoxical Commandments: Finding Personal Meaning in a Crazy World,Book,0,5,2,17,5,4.5
548538,Just Dog,Book,0,5,6,1,1,5
548539,A Matter of Degrees: What Temperature Reveals About the Past and Future of Our Species"," Planet"," and Universe,Book,0,5,3,6,5,5
548540,If You Take a Mouse Five-Book Set (If You Take a Mouse to the Movies; If You Take a Mouse to School; If You Give a Moose a Muffin; If You Give a Mouse a Cookie; If You Give a Pig a Pancake),Book,0,5,2,4,4,5
548541,Para alcanzar el orgasmo,Book,0,0,1,1,1,4
548542,Starting a Hedge Fund : A US Perspective,Book,0,0,1,3,3,2.5
548543,Facts Every Injured Worker Should Know,Book,0,0,2,5,5,4.5
548544,Lucky Man,Music,0,1,4,1,1,5
548545,I Need Your Loving,Music,0,0,3,1,1,1
548546,Adobe Photoshop 6 VTC Training CD,Book,0,0,3,2,2,5
548547,The Drifter,DVD,0,5,14,1,1,5
548548,The House Of Morecock,DVD,0,5,6,8,5,3
548549,Catholic Bioethics and the Gift of Human Life,Book,0,5,3,1,1,4
548550,1"," 2"," 3 Soleils: Taha"," Khaled"," Faudel,DVD,0,5,3,3,3,5
548551,That Travelin'' Two-Beat/Sings the Great Country Hits,Music,0,5,6,1,1,5
